name,rating
Daria,4
Futurama,4
Uptown Girls,4
Bring It On Again,4
The Wedding Planner,4
The House Bunny,3
Hocus Pocus,4
She's All That,3
Bring It On: All or Nothing,4
Alvin and the Chipmunks,3
Stitch! The Movie,4
Atlantis: The Lost Empire,4
Treasure Planet,4
"Mickey, Donald, Goofy: The Three Musketeers",4
Atlantis: Milo's Return,4
The Swan Princess,4
Tarzan II,4
Mulan II,4
Beauty and the Beast: The Enchanted Christmas,4
Pocahontas II: Journey to a New World,4
Cinderella III: A Twist in Time,4
Cinderella II: Dreams Come True,4
The Little Mermaid II: Return to the Sea,4
The Little Mermaid: Ariel's Beginning,4
Barbie and the Three Musketeers,4
Barbie and the Diamond Castle,4
Barbie in the 12 Dancing Princesses,4
Barbie Fairytopia: Magic of the Rainbow,4
Barbie as The Princess &amp; the Pauper,4
Barbie as the Island Princess,4
Barbie and the Magic of Pegasus,4
Barbie as Rapunzel,4
Barbie Fairytopia: Mermaidia,4
Barbie of Swan Lake,4
Barbie in the Nutcracker,4
The Princess Diaries 2: Royal Engagement,4
Total Recall,4
Salt,4
My Big Fat Greek Wedding,4
Bad Moms,4
Charlie's Angels: Full Throttle,4
The Chronicles of Riddick,4
The Prince &amp; Me,4
Life-Size,4
Confessions of a Teenage Drama Queen,4
Cadet Kelly,4
Aquamarine,4
The Incredibles,3
"Monsters, Inc.",3
Shrek 2,4
Shrek,4
The Lion King,3
The Princess Diaries,4
A Cinderella Story,4
The Even Stevens Movie,4
The Cheetah Girls,4
The Cheetah Girls 2,4
Jump In!,3
Twitches,3
Wendy Wu: Homecoming Warrior,4
Cow Belles,4
Ice Princess,4
Sinbad: Legend of the Seven Seas,4
The Little Mermaid,4
Raise Your Voice,4
The Perfect Man,4
Gone in Sixty Seconds,3
Avatar: The Last Airbender,4
17 Again,4
Lara Croft: Tomb Raider,3
Dirty Dancing,4
Million Dollar Baby,3
13 Reasons Why,4
The Transporter,4
Ghost in the Shell,2
The Twilight Saga: Breaking Dawn - Part 1,2
Super Size Me,4
The Longest Yard,2
The Twilight Saga: Eclipse,2
Friends with Benefits,4
Rush Hour 2,4
Wanted,4
Fifty Shades of Grey,1
Super 8,2
Mamma Mia!,4
Bring It On,4
Rush Hour,4
"Legally Blonde 2: Red, White &amp; Blonde",4
Miss Congeniality,4
Jumper,4
Charlie's Angels,4
Boyhood,3
8 Mile,3
The Fault in Our Stars,1
Wedding Crashers,3
Corpse Bride,4
Crazy Rich Asians,2
Beetlejuice,4
Fast &amp; Furious 6,2
War of the Worlds,4
Transformers: Age of Extinction,2
Austin Powers: The Spy Who Shagged Me,3
Troy,3
2 Fast 2 Furious,2
Requiem for a Dream,4
The Mummy Returns,4
The Fast and the Furious: Tokyo Drift,4
The Perks of Being a Wallflower,3
Mr. &amp; Mrs. Smith,4
12 Years a Slave,3
Slumdog Millionaire,4
TRON: Legacy,2
Star Trek,2
Scooby-Doo,3
National Treasure,3
The Twilight Saga: New Moon,2
Transformers: Dark of the Moon,3
To All the Boys I've Loved Before,2
Cast Away,3
Romeo + Juliet,3
Transformers: Revenge of the Fallen,4
The Mummy,4
The Twilight Saga: Breaking Dawn - Part 2,2
Austin Powers in Goldmember,4
Fast &amp; Furious,2
Fantastic Beasts: The Crimes of Grindelwald,2
The 40 Year Old Virgin,3
Ace Ventura: Pet Detective,4
American Beauty,3
Fight Club,4
I Am Legend,4
White Chicks,2
Harry Potter and the Chamber of Secrets,2
Baby Driver,3
Twilight,2
Pirates of the Caribbean: Dead Man's Chest,3
21 Jump Street,3
Click,3
Forrest Gump,3
Harry Potter and the Prisoner of Azkaban,2
Harry Potter and the Deathly Hallows: Part 1,2
Harry Potter and the Philosopher's Stone,2
300,3
Gladiator,2
Harry Potter and the Order of the Phoenix,2
The Princess and the Frog,3
Anastasia,4
Holes,3
Dirty Dancing,4
Catch Me If You Can,3
Bolt,3
Tangled,4
A Bug's Life,3
Charlotte's Web,3
Stardust,4
The Three Musketeers,4
The Nightmare Before Christmas,4
The Aristocats,4
Hannah Montana: The Movie,4
Up,4
Monster House,4
Hercules,4
Ella Enchanted,4
Freaky Friday,4
What a Girl Wants,4
The Parent Trap,4
The Lizzie McGuire Movie,4
Meet the Robinsons,4
Cowspiracy: The Sustainability Secret,3
Seaspiracy,4
